hotel_url,hotel_location,hotel_id,hotel_name,hotel_description,hotel_address
https://www.booking.com/hotel/vn/azerai-la-residence-hue.html?aid=304142&label=mkt123sc-880b7097-d3f7-4a70-aa96-b1640d9d57b3&ucfs=1&arphpl=1&dest_id=-3715887&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=class&srpvid=0713acceced7c54c4b8ff3040a82bf1f&srepoch=1771159554&from=searchresults,Hue,1002,"Azerai La Residence, Hue","Azerai La Residence, Hue is a classic colonial villa spread over 656 feet on the banks of the scenic Perfume River. Offering free WiFi, it also has a tennis court, pampering spa treatments and a fitness center. Guests can enjoy meals at the in-house restaurant.

The well-appointed rooms are individually designed with beautiful Art deco furniture and spacious terraces. Enjoying views of the city or river, all come with a TV, mini-bar and private bathrooms.

Azerai La Residence, Hue is 0.9 mi from Hue Imperial Citadel. Dong Ba Market, Hue Museum of Royal Fine Arts, An Dinh Palace and Nam Giao Esplanade are within 1.2 mi away. Phu Bai Airport is accessible with a 11 mi drive.

Guests can enjoy a massage at the spa or spend quiet moments at the hotel's library. Day trips and car rentals can be arranged at the tour desk, while complimentary use of bicycles are offered for guests who wish to explore the surrounding area.

The in-house restaurant, Le Parfum Restaurant offers a colonial-style fine-dining menu.","5 Le Loi Street, Hue, Vietnam"
https://www.booking.com/hotel/vn/ngan-giang.html?aid=304142&label=mkt123sc-28b189b8-c532-4763-ba03-95aad065b809&ucfs=1&arphpl=1&dest_id=-3726177&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=197&sr_order=class&srpvid=3938822b941a32a744972dd32f6c0bff&srepoch=1771158869&from=searchresults,Phú Quốc,1001,Ngan Giang Guesthouse,"Comfortable Accommodations: Ngan Giang Guest house in Phu Quoc offers family rooms with air-conditioning, private bathrooms, and free WiFi. Each room includes a bidet, refrigerator, TV, and wardrobe. Convenient Facilities: Guests enjoy private check-in and check-out, a 24-hour front desk, concierge service, and free off-site parking. Additional amenities include a lounge, elevator, outdoor seating area, and bicycle parking. Prime Location: Located 3.7 mi from Phu Quoc International Airport, the guest house is a short walk from Dinh Cau Beach and Phu Quoc Night Market. Nearby attractions include Sung Hung Pagoda and Phu Quoc Post Office. Activities and Surroundings: Guests can enjoy cycling, scuba diving, and visit nearby attractions such as Vinpearl Land Phu Quoc and Tranh Waterfall.","5/17 Nguyen An Ninh, Duong Dong, Phú Quốc, Vietnam"
https://www.booking.com/hotel/vn/le-bambou-resort-amp-spa-phu-quoc.html?aid=304142&label=mkt123sc-28b189b8-c532-4763-ba03-95aad065b809&ucfs=1&arphpl=1&dest_id=-3726177&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=667&sr_order=class&srpvid=3938822b941a32a744972dd32f6c0bff&srepoch=1771159131&from=searchresults,Phú Quốc,1003,Le Bambou Resort & Spa Phu Quoc,"Elegant Accommodations: Le Bambou Resort & Spa Phu Quoc in Phu Quoc offers a resort experience with a spa and wellness center, infinity swimming pool, and lush gardens. Complimentary WiFi is available throughout the property. Comfortable Amenities: Guests enjoy private check-in and check-out, a 24-hour front desk, daily housekeeping, and family rooms. Additional facilities include a tour desk, luggage storage, and free on-site private parking. Prime Location: Located 13 mi from Phu Quoc International Airport, the resort is a 16-minute walk from Ong Lang Beach. Nearby attractions include Sung Hung Pagoda (5 mi) and Phu Quoc Night Market (5 mi).","Tổ 3, Ông Lang, Cửa Dương, Đặc khu Phú Quốc, 92500 Phú Quốc, Vietnam"
https://www.booking.com/hotel/vn/pool-seaview-4a-blue-sea-balcony-bathtub-son-tra.html?aid=304142&label=mkt123sc-db8b93f3-41fe-450d-8e59-2a1d78bc6658&ucfs=1&arphpl=1&dest_id=-3712125&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=749&sr_order=class&srpvid=2282f5413385d7a0dacdcf9740826f53&srepoch=1771156944&from=searchresults,Danang,1004,POOL Seaview - 4A - -Blue Sea- Balcony- Bathtub,"Elegant Accommodations: POOL Seaview - 4A - -Blue Sea- Balcony- Bathtub in Da Nang offers a comfortable apartment with one bedroom, a living room, and a balcony. The property features a terrace and a rooftop swimming pool, complemented by free WiFi. Modern Amenities: Guests enjoy air-conditioning, a fully equipped kitchen, washing machine, and TV. Additional facilities include a hot tub, kids' pool, and free off-site parking. Prime Location: Located 3.7 mi from Da Nang International Airport, the apartment is a 7-minute walk from My Khe Beach and 1.2 mi from Song Han Bridge. Nearby attractions include Cham Museum and Indochina Riverside Mall.","47 Lê Tấn Toán, Danang, Vietnam"
https://www.booking.com/hotel/vn/tabi-homestay-hue-thanh-pho-hue.html?aid=304142&label=mkt123sc-880b7097-d3f7-4a70-aa96-b1640d9d57b3&ucfs=1&arphpl=1&dest_id=-3715887&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=273&sr_order=class&srpvid=0713acceced7c54c4b8ff3040a82bf1f&srepoch=1771159442&from=searchresults,Hue,1005,Tabi Homestay Hue,"Comfortable Accommodations: Tabi Homestay Hue in Hue offers family rooms with private bathrooms, air-conditioning, and free WiFi. Each room includes a work desk, TV, and dining area. Outdoor Spaces: Guests can relax in the garden or on the terrace, enjoying city views. The outdoor dining area provides a pleasant setting for meals. Convenient Facilities: The homestay provides free on-site private parking, bike and car hire, and a paid shuttle service. Additional amenities include a refrigerator, electric kettle, and stovetop. Nearby Attractions: Trang Tien Bridge is an 18-minute walk away, while An Dinh Palace lies 1.1 mi from the property. Other nearby sites include Redemptorist Church and Dong Ba Market. Phu Bai International Airport is 8.1 mi distant.","Kiệt 64 Nguyễn Công Trứ Số nhà 12, Hue, Vietnam"
https://www.booking.com/hotel/vn/ocean-villas-da-nang-free-pick-up.html?aid=304142&label=mkt123sc-db8b93f3-41fe-450d-8e59-2a1d78bc6658&ucfs=1&arphpl=1&dest_id=-3712125&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=322&sr_order=class&srpvid=2282f5413385d7a0dacdcf9740826f53&srepoch=1771156724&from=searchresults,Danang,1006,Deluxe Beach Villas by Danatrip,"Beachfront Location: Deluxe Beach Villas by Danatrip in Da Nang offers a private beach area and direct beachfront access. Guests enjoy stunning sea views and a sun terrace, perfect for relaxation. Exceptional Facilities: The resort features spa facilities, a swimming pool with a view, and a lush garden. Free WiFi is available in public areas, ensuring connectivity for all visitors. Comfortable Accommodations: Villas include air-conditioning, private balconies, and modern amenities such as flat-screen TVs and fully equipped kitchens. Additional services include a 24-hour front desk, daily housekeeping, and free on-site parking. Dining Experience: The family-friendly restaurant serves a variety of cuisines, including American, seafood, and Asian. Breakfast options include continental, American, Italian, and Asian, featuring local specialties and fresh pastries.","The Ocean Villas Resort, Truong Sa, Danang, Vietnam"
https://www.booking.com/hotel/vn/l-39-amie-amp-studio.html?aid=304142&label=mkt123sc-564e9d7d-d8c2-430c-a07f-ec1775832745&ucfs=1&arphpl=1&dest_id=-3712045&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=667&sr_order=class&srpvid=fbbf157ea40ba77910d1469e4bd3b9fe&srepoch=1771159931&from=searchresults,,1007,,,
https://www.booking.com/hotel/vn/junehome-rooftop-pool-city-view-near-bui-vien.html?aid=304142&label=mkt123sc-101d2eb0-bfbf-4d78-8611-1c73accaab6f&ucfs=1&arphpl=1&dest_id=-3730078&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=392&sr_order=class&srpvid=e474ec5fba63b58a7114c45e5cb6bd2f&srepoch=1771158076&from=searchresults,,1008,,,
https://www.booking.com/hotel/vn/phong-nghi-khach-san-a-la-carte-da-nang.html?aid=304142&label=mkt123sc-db8b93f3-41fe-450d-8e59-2a1d78bc6658&ucfs=1&arphpl=1&dest_id=-3712125&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=282&sr_order=class&srpvid=2282f5413385d7a0dacdcf9740826f53&srepoch=1771156687&from=searchresults,Danang,1009,2 Bedroom Apartment by the beach Da Nang,"Prime Beachfront Location: 2 Bedroom Apartment by the beach Da Nang in Da Nang offers direct beachfront access with a private beach area. Guests enjoy a spacious terrace and balcony, perfect for relaxation. Comfortable Accommodations: The apartment features two bedrooms, two bathrooms, and a living room. Amenities include air-conditioning, a kitchenette, and free WiFi. Additional facilities include a rooftop pool, terrace, and free on-site private parking. Dining Experience: A family-friendly restaurant serves lunch and dinner with British, French, Greek, Italian, Japanese, Korean, pizza, Seafood, Vietnamese, local, Asian, and European cuisines. The bar provides a relaxing atmosphere for evening drinks. Nearby Attractions: My Khe Beach is a 2-minute walk away, while Song Han Bridge is 1.4 mi and Cham Museum 1.9 mi from the property. Da Nang International Airport is 3.7 mi distant. Highly rated by guests for its excellent facilities and location.","200 Võ Nguyên Giáp, Danang, Vietnam"
https://www.booking.com/hotel/vn/mountainview-oasis.html?aid=304142&label=mkt123sc-671c8ba3-9d03-4cfc-9136-1a7842341057&ucfs=1&arphpl=1&dest_id=-3733750&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=196&sr_order=class&srpvid=2e21081c7ac5a0a622edd8ec00167eb0&srepoch=1771160190&from=searchresults,Vung Tau,1010,Biệt Thự Vũng Tàu 5 Phòng- 5 Bedrooms Villa in Vung Tau,"Spacious Accommodations: Biệt Thự Vũng Tàu 5 Phòng in Vung Tau offers a spacious villa with five bedrooms and four bathrooms. The property includes a living room and family rooms, ensuring comfort for all guests. Outdoor Amenities: Guests can enjoy a year-round outdoor swimming pool, a lush garden, and a terrace. Free bicycles are available for exploring the surrounding area. Convenient Facilities: The villa provides free on-site private parking, a 24-hour front desk, and private check-in and check-out services. Additional amenities include a laundry service, outdoor seating area, and car hire. Nearby Attractions: Pineapple Beach is located 1.9 mi away, offering scenic seaside views. Tan Son Nhat International Airport is 63 mi from the property.","128 Phan Chu Trinh, 78000 Vung Tau, Vietnam"
